name,phone,street,city,country,website,description
Autofolies,04 73 63 89 73,Rue Sous les Ecoles, 63720 Chappes, France,http://www.autofolies.net,Vente d'automobiles d'époque et de collection depuis 1986
Autology,06 14 60 71 42,1, chemin Ferré, 78490 Bazoches,http://www.autology.fr,"Vente de véhicules de collection, sport et prestige"
Automobiles Anciennes Decombas,04 73 53 60 46,8 Route de Maringues, 63190 Orléat, France,http://www.automobiles-anciennes-decombas.com,Vente de voitures de collection
Automobiles du Clos,02 99 81 31 35,54 rue de la ville es cours, 35400 Saint Malo, France,http://automobilesduclos.multimarque.fr, 02 99 81 31 35
Automobiles Legends,06 79 27 63 96,13 rue Michel Rondet, 42400 ST CHAMOND, France,http://www.automobiles-legends.com,Achat - vente - restauration - préparation de véhicules de collection
Automobiles Philippe Louet,01 46 56 81 81 ,14 rue Fenelon, 92120 Montrouge, France,http://pros.lacentrale.fr/C000478/,"Depuis 1983, je vous propose une sélection de véhicules de SPORT, PRESTIGE, COLLECTION, 4X4 - Achat, Vente, Reprise."
Autoys,03 82 52 76 53,47 allée du château de Gassion, 57100 Thionville, France,http://www.autoys.fr,"Spécialistes en Porsche classiques, youngtimers et en automobiles sportives contemporaines, nous mettons à votre service notre expérience dans le monde de l'automobile d'exception depuis 1997.Chez Autoys vous trouverez la voiture dont vous rêvez ! De Mini à Ferrari, profitez de notre expertise pour rouler « différent » au… > lire la suite quotidien.Nouveau chez Autoys….Diagnostiquez votre Porsche : nous vous proposons le test Durametric « Piwi »… mais surtout son interprétation avec un décryptage expliqué. Contactez-nous pour plus d'informations."
Aux Chateaux du Sud-Ouest,05 65 35 25 07,Lieu dit Petit Versailles, 46000 Cahors, France,http://www.auxchateauxdusudouest.com,"Depuis plus de vingt ans Aux Châteaux du Sud-Ouest a le plaisir de proposer des Automobiles parmi les plus fascinantes et rares. Avec en permanence plus de trente voitures disponibles, Pio et Laurent RADOCCHIA aiment partager leurs passion pour les belles mécaniques.

Situé dans le Lot aux portes de la ville médiévale de Cahors dans le… > lire la suite Sud-Ouest de la France et sur l'axe Paris/Toulouse et son autoroute A20 notre showroom abrite quelques-unes des plus belles voitures du monde.

De la Pagani Zonda en passant par les Lamborghini, Ferrari, Maserati ou Porsche notre gamme est large et peut s'étend principalement des années 60 à aujourd'hui.

Si vous passez dans la région et vous êtes passionné par les Automobiles, pourquoi ne pas prendre le temps de nous contacter afin de prendre rendez-vous. 
L'aéroport de Toulouse-Blagnac, celui de Bergerac permettent un accés aisé depuis l'étranger et l'aérodrome de Cahors-Lalbenque permet aux avions privés de se poser au plus près de notre garage.

Pio RADOCCHIA et son fils Laurent seront ravis de vous accueillir."
Avantages Automobiles,01 48 83 64 44,4, avenue de L’Alma,,http://www.avantages-automobiles.com,"Toutes nos voitures de collection ou youngtimers sont révisées, garanties et surtout sélectionnées par nos soins avec la plus grande attention. Notre équipe de spécialistes apporte tout son savoir-faire pour les fiabiliser et vous livrer ces bijoux dans les meilleures conditions. Toutes subissent une vérification approfondie ainsi qu’un essai prolongé. En nous accordant votre confiance, vous êtes sûr de bénéficier des conseils d’une équipe de professionnels pour le choix de l’objet tant convoité. Il ne… > lire la suite vous restera plus qu’à prendre du plaisir à bord de votre petit bolide…"
B4 Cars,+33 (0)6 14 19 33 34,1545 Route de Saint Gilles, 30000 Nîmes, France,http://www.b4-cars.com,"Chez B4Cars, nous avons vocation à répondre à toutes ces problématiques afin de vous proposer une offre précise, adaptée et complète sur un marché en mouvance perpétuelle.Tout cela sans nous immiscer dans les travaux de remise en état ultérieurs. En effet, nous vendons les véhicules dans l’état où nous les achetons, laissant ainsi l’opportunité au… > lire la suite futur propriétaire de choisir ce qu’il veut faire, avec qui, dans quel budget et dans ses délais. Ainsi, nous pouvons vous conseiller sans nous ériger en juge ou partie."
